Square_Footage,Square_Footage,Num_Bathrooms,House_Price
2029,1,3,455122.1
2538,5,3,551463.8889
3802,2,2,816173.7524
2737,2,3,637736.0104
1806,1,2,420203.4616
4529,2,1,1026790.066
3175,5,3,744681.3971
1782,2,1,400585.4624
1209,5,3,368327.4567
4913,1,1,977158.5923
4248,3,3,883626.6204
1163,2,1,244030.4071
2498,3,1,558598.6788
3945,5,3,860329.4923
4243,2,1,947490.7775
1995,4,1,492018.3228
3804,3,1,832386.3312
4263,2,3,893926.6295
2353,3,3,534464.912
1791,2,1,355281.4185
4081,1,1,834105.7943
3957,3,3,885550.3826
2136,4,3,551859.0857
4196,4,1,922420.5884
3499,5,1,804433.8093
3652,2,1,734985.063
1198,3,2,346152.8476
2660,5,3,649973.3619
4597,3,2,1006939.664
1354,2,3,370260.6032
3974,4,3,928059.713
2207,1,3,492112.0397
3277,4,3,752466.6747
2233,5,3,573797.9393
4010,1,3,854876.2984
702,5,3,183663.6465
3755,2,2,788150.9318
4718,1,1,981510.8953
4996,5,1,1070454.275
1266,2,2,241968.8433
4889,4,2,1064004.873
2827,2,2,640767.2242
3431,3,2,762159.3915
697,2,3,216591.9711
2430,2,1,497168.0883
4082,3,3,857205.2453
1108,5,1,285546.5017
3772,5,1,819125.6471
1647,2,2,316130.2556
4782,3,3,1067425.217
3897,3,2,837398.5651
3011,4,3,658260.706
2294,5,1,475767.3505
1159,1,2,250101.5473
3311,5,2,688516.5047
1869,5,1,510876.9991
2486,4,1,543734.4219
646,1,1,146406.8963
3719,4,2,828512.102
3411,1,3,719969.4353
2234,2,2,507847.5873
2343,1,3,507554.9441
988,4,2,294558.072
3476,5,2,712212.2154
2459,1,1,491715.9477
2885,1,3,625227.0455
3419,3,2,752101.9024
2302,5,2,501913.6471
4561,2,1,907358.633
3869,4,1,878704.0956
762,2,3,237070.7057
1123,5,2,267132.4136
1516,1,3,353129.5685
4143,1,2,845141.6167
2549,5,3,656223.1627
4223,1,1,884677.6891
3608,1,2,775773.2238
4590,1,3,918893.7439
2556,4,1,607698.7371
3670,4,1,838774.484
2182,3,3,470978.4795
2755,2,2,616308.9624
1654,5,2,417416.2623
4999,5,1,1060976.489
3691,5,2,809046.2842
2196,3,2,485376.4233
4491,4,2,965816.6681
2148,3,1,517515.406
1945,5,3,438250.1762
4699,2,2,1008240.785
4423,1,1,888140.076
753,4,1,252963.3562
3683,4,3,801206.2037
3057,3,2,624112.16
598,4,2,155471.1663
2700,5,3,617900.4948
3461,5,3,798362.775
4933,3,1,1096158.29
4277,5,1,927092.406
3369,2,3,728289.8873
3734,3,2,785248.362
4291,2,1,862580.4984
1456,1,1,297387.9225
4567,2,2,938151.8372
660,1,1,203447.4834
4993,1,2,1038319.165
1800,2,2,443408.306
4487,3,2,971977.0246
2027,5,3,539478.4032
1718,5,3,424712.5513
4996,1,3,1102533.649
3604,1,2,740286.5597
3235,3,2,655719.1459
1454,4,3,402213.4219
3946,2,1,779202.681
1545,1,2,338170.3153
2193,5,1,497340.9981
3936,3,1,815811.6827
1062,2,2,250362.3591
2985,3,2,717150.4421
3854,2,1,811129.4972
725,2,1,165242.2979
1459,1,3,370992.4566
3567,3,3,779362.3561
1315,3,2,308618.4073
3620,5,3,861356.9776
516,5,3,171023.9566
1743,1,3,381738.0175
2705,1,3,628610.9651
3024,4,1,698124.6115
1569,5,2,362679.0878
3944,2,3,822030.7667
3065,3,1,611205.6889
1560,1,1,359657.9956
2827,3,1,605143.9591
3920,3,3,881016.0048
801,4,3,258111.6714
4776,5,2,1038652.425
1106,1,3,219426.9245
3670,3,3,813296.809
1199,1,1,211038.8532
1639,2,2,395042.3551
690,4,3,203867.0429
2800,2,3,619660.8347
1480,1,1,304174.6641
3475,1,1,731899.4356
1684,5,3,467628.5271
3827,3,2,827143.7764
3894,3,2,797034.4255
627,2,1,126097.9272
2565,4,1,527544.9105
2316,3,3,570289.0161
1069,5,1,234389.7668
2395,2,3,534533.02
3233,2,2,660507.8198
4363,5,2,1008539.156
4514,4,3,955158.9064
3401,5,1,756373.8421
2186,4,2,441315.0885
3509,5,1,749610.4678
654,5,2,158636.7031
3037,1,3,699683.2484
1909,2,3,390430.2224
4557,5,3,935973.5563
1284,5,2,350816.1844
3675,3,1,779019.7305
4841,2,1,987630.2411
3306,3,1,733612.8164
1037,2,2,255907.1344
2341,3,2,517655.1581
2955,5,2,684425.2003
1024,5,2,323701.2442
3450,1,2,724814.2264
4631,3,1,1015556.149
4615,4,2,993273.0797
2868,1,2,581948.16
4347,3,1,895675.5548
4995,3,2,1092026.897
3201,1,1,662119.9411
1471,5,1,341253.2208
1666,3,3,412045.7827
3274,5,3,748220.4937
2482,1,3,507185.4544
1353,5,3,354054.7002
4646,2,2,915005.2949
4236,4,3,872676.4342
4269,3,1,934942.0571
1074,4,2,269061.782
3761,5,3,867445.4185
1648,3,1,342303.6893
2215,5,2,486872.0567
4354,2,2,935626.9529
2991,1,3,644601.1052
3160,3,2,645375.2218
3624,2,1,786580.3015
3551,2,2,740281.2153
504,3,1,149743.5
1376,5,2,348893.554
1491,2,3,346010.9498
4642,4,1,915441.1798
4864,2,2,988325.4879
4965,5,2,1075864.281
1135,5,2,329218.5249
2193,4,1,530004.3428
2182,2,1,408013.5791
619,5,1,224507.2001
1330,3,3,300656.0791
4175,1,3,848824.7743
1869,1,1,396681.2861
1240,1,2,262398.446
616,2,3,180393.6281
3338,4,1,671803.9439
1650,5,2,474045.8427
2431,3,3,505877.5982
1512,3,2,389645.3296
2164,2,2,483350.3282
1581,1,2,358458.3808
1012,2,2,264395.0918
3349,4,3,749571.2916
1059,4,3,263760.9441
4172,5,3,894611.0787
3843,5,1,853001.1126
4570,4,3,972537.4965
1970,4,2,453359.8716
1080,4,3,270230.6377
2794,2,2,673649.8961
3647,4,1,827205.304
4749,3,2,1007770.579
2179,1,2,443005.6236
4006,4,2,871566.5627
3244,1,1,726227.569
3856,2,3,824351.6711
4545,1,3,973850.3283
1743,2,1,344363.2737
3618,3,2,793421.1418
2641,2,3,621862.7654
3559,2,1,758946.7724
3459,5,3,759151.2379
2765,4,1,630531.7401
2979,4,2,646766.2898
2135,3,3,533039.4328
2257,3,1,496427.1036
4952,4,3,1099211.641
2570,5,3,605600.9507
3349,4,3,738935.8194
3751,5,3,839522.3186
4230,3,1,874856.2711
2989,1,2,609401.0845
2131,3,1,457643.098
3316,3,1,676108.8512
1515,2,1,300935.1861
1848,2,2,381998.6087
3587,2,3,720883.6572
3339,2,3,722543.0796
835,5,3,294548.4026
1395,4,2,336073.5216
4046,1,3,863034.6757
1351,3,2,319748.7668
2187,5,3,504023.2609
2431,1,3,538851.8934
4246,5,1,934919.3828
2927,5,2,648902.522
2068,3,1,414808.6543
4500,4,1,940080.4444
3238,2,1,676233.0768
3998,4,2,866618.389
4413,3,2,983106.2224
1566,3,3,367024.3794
4880,3,1,1075814.432
2944,1,3,660979.0475
4607,4,1,978190.8351
3873,4,2,801313.0611
4469,5,2,992213.453
3046,5,2,676719.1221
1253,5,1,296184.1966
2582,3,2,587557.3219
3274,4,1,724842.1847
3396,3,3,762080.8235
4685,1,1,955223.3951
1275,5,3,354189.0055
2125,3,1,454484.4215
3569,3,3,769087.188
917,1,2,251359.7986
614,2,3,172534.444
1116,4,2,268244.1761
4474,2,2,985699.1861
3767,5,3,824529.5721
1325,3,1,289985.4146
2016,1,1,450594.568
3646,1,1,794010.0167
912,4,1,233504.5138
1228,2,1,269736.4362
3848,4,2,841676.0141
3308,3,1,707483.44
1175,4,2,310471.3889
3965,1,2,846516.6709
3004,1,2,647388.2996
3467,5,3,760678.6017
3286,5,3,681361.2493
1622,3,2,325380.0023
4579,2,3,987442.6841
2071,4,1,508941.1259
2643,3,1,572941.4282
2187,5,2,481489.2462
4632,4,1,997885.7697
4351,5,2,944921.9816
3940,4,2,842172.2092
4266,2,1,901471.7427
2826,3,3,632482.6224
3414,4,1,748136.4564
4452,1,1,914555.745
1095,1,2,214492.3981
1228,4,2,287478.2675
1865,4,2,478566.0656
4992,4,2,1068538.106
1198,1,3,334276.2178
895,1,3,235478.1021
4671,4,3,1028282.312
4860,5,2,1060712.828
3002,5,2,690243.7507
2319,2,2,501720.6757
1217,3,3,314916.5292
3282,5,2,752791.6326
4077,1,1,848697.29
643,5,1,213397.793
3640,2,2,788471.7466
4991,2,1,1023975.133
3438,3,1,738091.5512
4136,5,3,926531.81
3722,1,2,781388.9357
1667,1,2,302975.3038
3116,4,3,696224.0924
1562,1,1,370689.5463
2656,3,1,559262.3224
3482,3,2,775422.1169
3794,1,1,783176.6366
1656,1,3,392725.1967
1232,4,3,297268.3996
4830,1,2,1027285.77
1453,4,3,367172.5873
3039,4,3,697780.778
3824,1,2,802714.0962
3801,2,3,783978.6475
2042,2,3,475471.1767
1691,4,3,427302.0437
3493,1,1,724420.5097
3181,2,2,690319.8868
1717,1,2,383644.1777
2040,1,2,379109.0941
3736,1,1,758293.3789
2886,5,1,619360.9694
4219,1,2,923122.1142
1888,5,1,477884.3169
2356,4,2,558796.254
1865,2,1,366797.3448
999,2,3,226125.4127
2180,2,3,507967.8361
1010,2,2,246540.9659
4812,2,1,961367.1393
1824,2,1,427947.1031
1655,2,3,396277.34
2327,4,3,585574.1096
3641,1,1,763296.5726
3986,3,1,827741.1738
2310,5,1,523323.0671
3423,3,1,731262.2025
2714,3,1,574450.4842
4686,1,1,923773.1294
1213,1,2,269665.8614
4102,1,1,838955.4539
4634,2,3,915104.235
4022,4,2,875981.0269
4768,2,1,1017321.395
1743,4,3,435500.9448
4209,4,2,896600.4885
1581,3,3,342679.45
955,3,1,267185.2676
1394,4,1,338350.5954
1884,4,1,414166.5843
2458,2,1,523387.0959
3572,2,2,720713.4288
2496,3,2,551668.6465
4785,1,3,972746.6953
1004,4,1,269874.7159
1714,2,3,431423.2948
2031,3,2,501692.8516
3940,2,1,804904.7205
1323,4,1,362719.6269
1428,4,2,369407.9642
633,5,2,176494.3541
2605,1,2,557218.6456
4127,5,2,909713.435
2352,3,2,526951.7758
4675,2,1,1033450.458
3433,3,2,739205.5159
3784,4,1,870504.8286
4798,5,1,1045202.35
3311,5,2,722603.6897
1750,5,2,409947.2216
4012,3,1,901000.4882
1756,4,2,364834.6822
3876,2,2,795928.1818
3986,2,2,778486.8427
4084,3,3,858011.5135
1896,5,1,418888.6617
4137,1,3,887527.9072
3830,3,2,827140.4447
3203,3,3,673586.7477
970,4,2,258717.6802
1853,2,3,471816.8853
3283,3,2,764387.1612
3331,3,3,687869.2513
857,5,3,252024.0177
3519,5,3,788284.6902
1167,1,1,219652.598
4968,4,3,1043830.291
1645,1,1,368670.1351
4685,5,2,1015603.702
4219,2,3,909745.2998
3245,5,2,695195.3585
1039,4,2,322312.8625
3279,5,3,746167.7281
4636,4,1,985351.0239
4275,4,3,896792.5538
3008,4,2,716524.692
3279,4,2,695362.7415
1424,4,3,379005.7119
3456,2,1,763645.6102
2081,1,1,424881.1929
3824,3,2,809782.1662
4985,1,2,1032002.238
755,4,1,239234.5743
2338,2,3,560304.6612
2444,5,2,523988.4313
509,2,1,179398.4332
3371,4,2,736289.1246
1297,2,3,284798.2135
1515,2,1,327253.458
2324,4,2,506990.3248
4969,2,3,1064774.934
3636,3,2,818671.3913
2693,3,3,648718.3261
723,2,3,236865.4392
4658,5,1,951484.5474
4425,4,3,967287.6139
4500,3,2,936969.4548
2133,5,3,523680.2041
2652,2,3,537770.4956
1010,5,1,261227.3187
884,1,3,217669.8849
904,3,3,198204.1283
2500,2,2,517128.7579
3256,4,1,701609.1003
2168,2,1,465144.0719
1960,4,1,466251.4916
4136,2,3,894174.4395
3224,5,1,705754.432
4678,5,3,1007068.65
2548,5,3,547523.9111
4646,1,2,965317.5061
1216,4,2,299226.7671
2323,5,2,548288.2434
2581,1,2,570399.7428
3919,4,2,875382.7427
2074,2,3,473734.2154
749,1,3,146020.4034
1173,3,1,288382.4605
2665,1,3,537619.5908
1270,1,3,264215.3398
4462,4,2,1010589.329
4863,2,3,1047149.248
2484,3,2,562238.481
1577,5,1,370970.3861
735,5,1,238459.1159
888,1,3,215993.8951
3537,4,1,769763.673
2348,4,3,594755.3248
3314,5,1,779336.1178
3874,3,2,820831.6964
3778,2,2,818613.7108
1752,3,2,432824.6586
4481,2,2,996696.8359
2622,5,3,604936.8305
2650,2,1,596659.3685
1829,4,3,417900.5909
1858,1,2,376032.3615
2982,1,3,626454.2784
2517,5,1,629609.0985
1831,4,3,432687.9838
4844,3,1,979926.7246
4761,4,3,1041122.113
1858,1,1,433664.2275
3677,1,1,806645.0449
2628,4,2,576020.0443
2680,4,1,600207.334
637,1,2,190828.1399
3972,3,2,878049.2512
3332,5,2,704212.524
4079,5,3,909836.0848
3531,4,3,771922.8498
4664,5,3,1010183.5
3093,1,3,650748.6977
4800,1,1,1018026.994
4318,4,1,897666.0008
4638,4,3,998439.2371
4323,4,1,938864.8193
4542,3,1,978835.1053
2406,5,2,533178.2402
1260,4,2,278644.6693
3945,2,2,846346.3281
1399,2,2,310271.2637
4955,1,1,995441.7102
3447,5,3,830557.1687
2219,4,1,470083.2904
780,2,1,217462.4451
3766,5,1,787281.7359
2387,1,2,508927.8042
3766,3,2,799178.3101
1166,5,2,319601.3915
4688,5,3,1004456.219
1171,3,1,206781.7574
2469,5,3,583183.4309
4656,1,2,913774.389
3622,1,3,734501.9543
4400,3,1,987241.4297
1023,4,1,287822.3769
2893,2,2,607535.634
3617,4,2,804727.9577
3093,5,3,665369.9589
2468,2,2,540221.2539
2253,3,2,551444.6316
2796,3,1,621460.4906
2761,2,2,596339.571
2786,1,2,617979.853
4702,2,1,967780.6667
3378,5,1,734156.8161
4643,1,3,1021134.621
4144,3,2,834328.5794
4932,2,1,1040389.048
2555,4,3,602549.2782
1776,4,3,468699.4413
3266,5,2,738226.712
802,4,2,237185.9133
1138,2,3,315357.481
555,2,1,111626.8534
1025,4,3,282660.2193
4623,2,2,972040.06
2625,5,1,625113.6085
3787,1,1,745395.8554
864,5,3,250123.4691
2146,5,2,510968.1407
1418,2,3,353161.4613
3297,1,3,740330.4672
2031,2,3,496840.5292
3845,3,1,888020.5575
2406,2,1,522309.4059
3586,2,2,724033.5605
2575,2,2,545482.742
1213,1,3,305026.7708
1562,2,3,355453.1829
2476,1,3,513292.7597
1796,4,2,442278.7666
625,3,1,185569.8943
4096,1,1,826494.0471
3783,4,3,839074.0204
2103,1,3,474659.8601
566,1,3,158454.8392
732,3,3,190802.0703
2656,5,2,619516.3325
1669,5,1,416605.6073
2658,1,3,551324.4887
4706,2,2,1000021.761
1993,4,3,462185.7242
4507,2,3,985499.1963
2972,2,1,629290.1434
3160,1,3,627322.9412
3239,1,1,638451.4028
2261,1,1,439898.8033
4014,1,1,821146.2339
2475,5,2,594005.0065
2862,1,2,613658.1099
1376,5,1,335417.637
4312,5,3,919941.4098
3948,1,1,823529.5489
1812,3,3,415639.6454
1960,4,1,407600.3914
3209,2,3,694271.1623
2824,5,2,591174.1369
2233,4,3,525760.8806
2105,3,1,472291.9525
3063,2,2,647832.2076
3921,2,3,889364.8171
4017,5,3,935451.9336
2897,1,3,625246.118
4235,3,3,917235.4105
3370,5,3,769318.6038
1660,3,2,357130.1203
742,1,2,181191.067
3090,1,2,641013.9191
1563,5,2,336153.428
4824,1,1,924012.9418
3095,4,2,670894.0581
1419,2,3,312202.0872
505,5,3,159121.4656
967,3,2,240302.22
4670,4,3,1001847.36
503,5,2,206042.3513
1145,1,3,275063.0991
617,1,1,147206.8658
3428,1,1,710065.5618
3051,1,2,624411.6025
4789,3,2,988358.2476
1346,4,2,351280.4162
3262,2,3,696027.2852
1641,3,2,364016.4012
2310,3,1,494537.5115
1223,2,3,307116.6791
724,2,2,194628.7274
4708,1,3,949404.2007
2548,3,3,574912.7662
4915,5,2,1011770.879
2073,2,3,438849.2345
2328,2,1,527715.5374
2417,4,1,580272.8716
4734,5,3,1021159.692
2526,5,2,567108.4842
4244,2,3,926488.4541
1401,1,1,321278.1795
2539,4,3,572608.4314
509,5,3,140538.0832
760,2,1,211508.5901
2173,5,3,552158.5008
2719,4,3,623326.5868
2560,4,2,622100.1895
4213,3,2,845932.4083
2119,2,1,468251.3633
820,4,1,236054.0003
1842,3,1,405144.6701
2876,3,2,663568.5127
3332,5,1,755402.3727
3324,5,1,759882.5851
2494,3,1,578870.762
3458,5,2,760720.1465
2538,4,3,611557.8809
3990,1,1,851283.9163
4177,4,3,870212.7997
1618,3,1,340874.6233
2104,3,3,451409.481
4527,4,2,898403.5372
735,5,2,198659.2199
2469,5,1,600564.2007
4929,3,3,1062899.029
2408,2,2,476966.9363
875,5,1,245941.0565
4030,4,1,844959.8412
3135,5,2,663727.5441
2070,4,2,473629.2215
3060,3,1,638284.479
3891,5,3,833111.8086
3465,4,3,749471.4241
4143,3,3,891638.5087
4350,2,1,877752.3422
1372,4,2,377431.0644
1752,2,1,373171.5899
1814,2,2,405940.6239
3398,1,3,706686.3209
577,5,3,185557.6965
3121,4,2,728927.0714
4727,2,2,976049.1315
1100,1,1,241079.3235
1565,3,3,368640.6584
2636,4,1,645781.7325
2949,2,1,641526.9854
2843,5,1,691113.9195
2363,1,3,528869.8625
1818,2,1,441001.3484
4097,5,1,852599.9751
4262,2,1,894261.7196
2690,4,1,574383.5479
1492,4,1,366271.8456
3212,4,1,665969.5719
2692,1,3,525408.9155
1748,4,1,394408.5769
3554,5,2,826606.0146
4533,2,1,940711.9831
2497,3,1,555012.7033
4187,5,3,950877.0054
2651,5,3,601083.9476
4518,4,2,926094.1391
3610,1,2,774150.0468
2470,2,3,543160.4942
697,1,3,202427.974
3126,2,1,708104.0557
1702,2,3,402002.4844
2535,1,2,533656.394
977,5,1,214146.491
1754,2,2,398823.2673
1422,1,1,313266.8365
919,2,3,217213.6452
2704,3,2,539133.0843
3097,5,1,697909.6504
1620,4,1,418003.1573
3568,2,3,818706.7764
1450,3,3,325738.1479
2836,4,3,605369.8615
2743,4,2,606157.4973
3145,2,1,613606.1875
2357,1,3,503962.1877
2365,2,2,510534.1604
3412,3,2,744040.0563
3353,4,2,701368.1143
3728,2,3,816939.5874
4219,1,3,907601.7862
3728,2,1,771385.1498
2871,5,1,636552.7525
3391,1,3,694917.3009
4256,3,2,852368.607
4725,4,2,993240.2814
594,2,2,158856.843
3174,1,1,678385.99
2455,5,2,531945.9833
1293,1,1,279607.4552
2334,5,1,515300.5927
2616,3,2,542247.1623
4606,4,2,974421.4462
3825,3,3,843637.4595
3419,2,3,772740.0707
3097,1,2,685644.2336
3705,5,1,808905.585
1314,5,1,341956.2674
845,1,1,222673.0659
2849,1,1,604718.2237
862,2,1,234762.8245
2943,3,3,690305.8228
2765,5,2,652434.7052
2688,2,3,601890.2919
3505,3,1,753186.1677
3781,2,1,792681.5184
1484,5,1,360372.978
2139,1,1,422950.9047
1327,1,2,312914.0031
3230,3,1,734110.0244
4031,4,2,899849.5188
4951,3,1,1017583.427
3435,4,2,729494.9062
4376,2,3,953339.7306
626,2,1,113576.5124
3677,5,2,847131.2133
3556,4,3,796875.0928
1103,5,1,280149.1864
3949,1,1,833283.0645
4646,4,1,1046163.326
4033,3,2,889107.693
3867,1,2,760436.8894
3868,1,3,864309.0324
4297,3,2,910000.386
2292,1,2,512734.7789
3361,4,1,762769.5056
3976,5,1,827432.4143
3917,1,1,780363.0628
2145,4,1,524818.9633
1705,2,1,354744.6306
3530,4,1,754662.1769
3372,5,1,733900.7559
3572,4,3,729385.5524
2354,3,3,556236.7348
4521,5,3,1039730.214
3208,2,3,672640.7863
4002,3,1,860129.7292
1832,4,3,432387.041
701,5,1,246717.9664
4007,2,3,897176.5668
4712,3,2,976572.7482
1074,2,3,251724.6793
1036,4,3,238220.4845
2125,2,1,514184.1817
2622,1,3,561747.2624
885,3,2,194353.7361
3781,2,1,826587.797
974,4,1,280961.6804
917,4,3,191907.6525
4100,2,1,809712.7379
1454,4,1,369854.9245
1705,5,1,400306.9574
4620,5,1,985628.9692
2490,5,1,567376.4007
4072,1,1,889695.2695
4880,2,2,1004325.393
4658,1,3,1021278.34
3213,4,2,665309.7684
2703,1,1,576620.3719
3620,4,1,738643.2008
1466,4,3,343678.9352
3932,3,2,865263.3836
1188,5,3,342365.2071
4743,4,2,1037911.652
4201,3,1,876992.6297
841,5,3,238047.5928
2224,4,3,518166.3814
4922,4,1,1108236.836
2292,1,3,483905.9984
2259,1,2,509733.8504
3712,5,2,747938.7115
1489,4,2,347769.0613
2762,2,2,619407.6279
2982,1,1,646118.3979
1451,5,3,338786.4441
1222,4,2,291123.8674
3889,4,1,796470.1732
2579,2,3,603812.5888
3217,5,3,779867.2166
2832,4,1,656065.842
3876,1,1,793323.8128
2000,2,2,448879.5108
785,5,3,262707.2789
3995,2,3,872258.3925
2565,1,1,530476.1233
1268,5,3,321199.3469
3557,2,2,730405.662
4789,3,3,1033816.825
2661,1,1,564747.6546
3793,1,1,804450.099
1446,1,2,316282.8068
3835,3,2,806269.4034
4650,3,3,988234.618
1981,4,3,489595.4125
2401,2,1,504682.3012
3951,4,2,851472.5994
4564,2,2,991703.3944
554,3,2,120795.5524
2323,3,3,511645.2378
3962,4,2,868356.2432
3579,5,1,765780.044
1332,4,1,317780.5943
4908,2,3,1058290.681
3306,4,3,708003.0797
2990,1,2,663456.3939
827,2,3,198773.4757
3810,2,1,821117.7482
3800,5,2,888184.3038
4175,3,1,869924.3421
3554,2,2,734201.4616
2643,3,3,530326.7865
1811,4,2,436325.0762
3691,1,2,758140.6273
3038,5,1,647006.8126
4483,3,1,921002.2482
664,2,2,170024.8759
4777,3,3,1009807.439
1322,2,3,345655.7949
1443,3,1,320689.2188
4925,2,3,1034380.204
1274,4,1,304653.636
2698,2,3,571367.8253
3656,2,2,856066.3005
4742,1,1,931856.9695
4195,2,1,882532.5489
3952,1,2,875163.0461
1414,5,1,372292.6034
1808,1,3,402330.0512
4677,4,3,965304.849
1013,1,1,248621.8261
2420,5,3,560889.793
4094,4,1,933332.7201
1909,3,2,453579.1055
3690,3,1,814843.6877
4991,1,2,1037268.043
2055,1,3,460741.2339
1304,5,2,357477.3327
1779,5,3,480192.2452
4077,2,1,886451.6347
3401,5,3,786584.6102
1887,2,1,439793.078
3261,4,1,701493.9971
3179,1,2,683723.1607
2606,4,2,572024.0236
4723,5,2,964865.2986
3268,4,2,742599.2533
